
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. M2sExt, 4530, 7391, 624, 0, 0, 0, 1, 2, 86
.	. M2sExt_IO_0_IO, 0, 0, 0, 0, 0, 0, 0, 0, 1
.	. M2sExt_sb, 4530, 7391, 624, 0, 0, 0, 1, 2, 32
.	.	. COREAHBTOAPB3_0, 111, 169, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAHBtoAPB3_AhbToApbSM_1, 9, 37, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAHBtoAPB3_ApbAddrData_1, 100, 125, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAHBtoAPB3_PenableScheduler_0, 2, 7, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAHBTOAPB3_1, 53, 72, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAHBtoAPB3_AhbToApbSM, 9, 51, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAHBtoAPB3_ApbAddrData_0, 42, 16, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAHBtoAPB3_PenableScheduler, 2, 5, 0, 0, 0, 0, 0, 0, 0
.	.	. COREI2C, 123, 356, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREI2CREAL_9, 113, 350, 0, 0, 0, 0, 0, 0, 0
.	.	. COREI2C_0, 121, 351, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREI2CREAL_9_0, 113, 349, 0, 0, 0, 0, 0, 0, 0
.	.	. COREI2C_1, 121, 348, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREI2CREAL_9_1, 113, 347, 0, 0, 0, 0, 0, 0, 0
.	.	. COREI2C_2, 121, 351, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREI2CREAL_9_2, 113, 350, 0, 0, 0, 0, 0, 0, 0
.	.	. COREI2C_3, 121, 346, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREI2CREAL_9_3, 113, 345, 0, 0, 0, 0, 0, 0, 0
.	.	. COREI2C_4, 121, 349, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREI2CREAL_9_4, 113, 348, 0, 0, 0, 0, 0, 0, 0
.	.	. COREI2C_5, 121, 350, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREI2CREAL_9_5, 113, 350, 0, 0, 0, 0, 0, 0, 0
.	.	. COREI2C_6, 121, 349, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREI2CREAL_9_6, 113, 348, 0, 0, 0, 0, 0, 0, 0
.	.	. COREI2C_7, 121, 353, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREI2CREAL_9_7, 113, 353, 0, 0, 0, 0, 0, 0, 0
.	.	. COREI2C_8, 121, 356, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREI2CREAL_9_8, 113, 355, 0, 0, 0, 0, 0, 0, 0
.	.	. CORESPI, 109, 144, 8, 0, 0, 0, 0, 0, 0
.	.	.	. CORESPI_SFR_7, 109, 142, 8, 0, 0, 0, 0, 0, 0
.	.	.	.	. spi_master_7, 54, 47, 8, 0, 0, 0, 0, 0, 0
.	.	.	.	. spi_slave_7, 29, 24, 0, 0, 0, 0, 0, 0, 0
.	.	. CORESPI_1, 109, 141, 8, 0, 0, 0, 0, 0, 0
.	.	.	. CORESPI_SFR_7_0, 109, 139, 8, 0, 0, 0, 0, 0, 0
.	.	.	.	. spi_master_7_0, 54, 47, 8, 0, 0, 0, 0, 0, 0
.	.	.	.	. spi_slave_7_0, 29, 24, 0, 0, 0, 0, 0, 0, 0
.	.	. CORESPI_2, 109, 136, 8, 0, 0, 0, 0, 0, 0
.	.	.	. CORESPI_SFR_7_1, 109, 134, 8, 0, 0, 0, 0, 0, 0
.	.	.	.	. spi_master_7_1, 54, 47, 8, 0, 0, 0, 0, 0, 0
.	.	.	.	. spi_slave_7_1, 29, 24, 0, 0, 0, 0, 0, 0, 0
.	.	. CORESPI_3, 109, 137, 8, 0, 0, 0, 0, 0, 0
.	.	.	. CORESPI_SFR_7_2, 109, 136, 8, 0, 0, 0, 0, 0, 0
.	.	.	.	. spi_master_7_2, 54, 47, 8, 0, 0, 0, 0, 0, 0
.	.	.	.	. spi_slave_7_2, 29, 24, 0, 0, 0, 0, 0, 0, 0
.	.	. CORESPI_4, 109, 142, 8, 0, 0, 0, 0, 0, 0
.	.	.	. CORESPI_SFR_7_3, 109, 139, 8, 0, 0, 0, 0, 0, 0
.	.	.	.	. spi_master_7_3, 54, 47, 8, 0, 0, 0, 0, 0, 0
.	.	.	.	. spi_slave_7_3, 29, 24, 0, 0, 0, 0, 0, 0, 0
.	.	. CORESPI_5, 109, 143, 8, 0, 0, 0, 0, 0, 0
.	.	.	. CORESPI_SFR_7_4, 109, 142, 8, 0, 0, 0, 0, 0, 0
.	.	.	.	. spi_master_7_4, 54, 47, 8, 0, 0, 0, 0, 0, 0
.	.	.	.	. spi_slave_7_4, 29, 24, 0, 0, 0, 0, 0, 0, 0
.	.	. CORESPI_6, 109, 121, 8, 0, 0, 0, 0, 0, 0
.	.	.	. CORESPI_SFR_7_5, 109, 120, 8, 0, 0, 0, 0, 0, 0
.	.	.	.	. spi_master_7_5, 54, 50, 8, 0, 0, 0, 0, 0, 0
.	.	.	.	. spi_slave_7_5, 29, 28, 0, 0, 0, 0, 0, 0, 0
.	.	. CORESPI_7, 109, 115, 8, 0, 0, 0, 0, 0, 0
.	.	.	. CORESPI_SFR_7_6, 109, 114, 8, 0, 0, 0, 0, 0, 0
.	.	.	.	. spi_master_7_6, 54, 50, 8, 0, 0, 0, 0, 0, 0
.	.	.	.	. spi_slave_7_6, 29, 27, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBLite, 42, 180, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MATRIX4X16, 42, 180, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_MASTERSTAGE_2_1_0_3_0, 34, 104, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0, 1, 7, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVESTAGE, 4, 26, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_SLAVEARBITER, 3, 17, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVESTAGE_0, 4, 50, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_SLAVEARBITER_0, 3, 17, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAPB3_32_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_16_3_19, 0, 206, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAPB3_MUXPTOB3_1, 0, 181, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAPB3_32_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_16_3_19, 0, 177, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAPB3_MUXPTOB3, 0, 153, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreGPIO, 265, 255, 0, 0, 0, 0, 1, 0, 0
.	.	. CoreInterrupt, 96, 153, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreResetP, 9, 2, 0, 0, 0, 0, 0, 1, 0
.	.	. M2sExt_sb_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. M2sExt_sb_CoreUARTapb_0_0_CoreUARTapb, 187, 165, 56, 0, 0, 0, 0, 0, 0
.	.	.	. M2sExt_sb_CoreUARTapb_0_0_COREUART, 163, 134, 56, 0, 0, 0, 0, 0, 0
.	.	.	.	. M2sExt_sb_CoreUARTapb_0_0_Clock_gen, 19, 10, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	. M2sExt_sb_CoreUARTapb_0_0_Rx_async, 37, 50, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. M2sExt_sb_CoreUARTapb_0_0_Tx_async, 23, 30, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. M2sExt_sb_CoreUARTapb_0_0_fifo_256x8, 30, 6, 21, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. M2sExt_sb_CoreUARTapb_0_0_fifo_ctrl_128, 30, 6, 21, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. M2sExt_sb_CoreUARTapb_0_0_ram128x8_pa4, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. M2sExt_sb_CoreUARTapb_0_0_fifo_256x8_0, 30, 17, 21, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. M2sExt_sb_CoreUARTapb_0_0_fifo_ctrl_128_0, 30, 17, 21, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. M2sExt_sb_CoreUARTapb_0_0_ram128x8_pa4_0, 0, 0, 0, 0, 0, 0, 0, 0, 0
